term,course_subject,course_number,course_name,course_section,prof_name,total_enrollment,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,d_plus,d,f,w,inc,avg_gpa
Spring 2025,ACCT,100,Fin & Mgr Acct,1,"HO, V",10,0,4,1,2,0,0,1,2,0,0,0,0,0,0,3.26
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,4,"DAUBER, N",40,2,11,8,4,4,2,0,1,0,0,1,0,7,0,3.491
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,6,"RUTHIZER, S",34,1,6,4,4,10,1,3,2,0,0,0,0,3,0,3.213
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,3,"DAUBER, N",40,1,5,7,4,5,7,2,4,2,0,0,1,2,0,2.974
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,13,"FITZSIMONS, S",21,0,2,1,0,9,4,0,0,2,0,0,0,1,2,2.939
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,11,"XIAO, J",32,0,5,3,4,1,1,1,0,0,0,2,6,9,0,2.361
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,12,"CALAMARI, J",40,1,1,1,2,4,7,4,3,8,1,5,0,3,0,2.278
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,7,"ROSANO, E",40,0,2,3,2,6,3,2,7,3,4,4,3,1,0,2.172
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,5,"HUANG, Q",40,0,2,5,3,6,2,2,5,0,0,8,5,2,0,2.168
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,2,"COWAN DOCKERY, M",40,2,4,2,1,0,4,3,9,0,0,0,12,3,0,1.903
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,9,"FEISULLIN, A",40,3,0,0,2,2,2,4,1,5,3,2,9,7,0,1.685
Spring 2025,ACCT,101,Intro Thry & Prac of Acct I,8,"SUH, J",40,1,3,0,1,2,1,2,3,4,3,2,14,4,0,1.425
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,5,"RUTHIZER, S",35,0,7,3,2,8,7,2,3,0,0,0,0,3,0,3.1
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,7,"SUN, F",45,0,9,9,8,4,2,2,5,0,0,2,3,1,0,2.948
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,6,"YAN, Y",45,0,11,4,6,4,4,6,2,1,0,6,1,0,0,2.82
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,2,"COWAN DOCKERY, M",14,0,0,1,1,1,0,1,4,0,0,0,0,6,0,2.538
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,3,"DAVID, A",45,6,3,4,0,6,3,1,5,2,0,2,8,5,0,2.365
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,8,"SUH, J",45,2,3,3,1,2,2,3,3,2,3,0,17,4,0,1.61
Spring 2025,ACCT,102,Intro Theo & Prac Acct II,4,"DAVID, A",45,0,1,1,4,2,1,4,6,3,2,2,13,6,0,1.551
Spring 2025,ACCT,201,Intermediate Accounting l,2,"KUMAR, V",50,0,21,0,0,10,0,0,10,0,0,0,0,9,0,3.268
Spring 2025,ACCT,201,Intermediate Accounting l,3,"FITZSIMONS, S",44,0,6,2,6,15,6,4,1,0,0,0,0,4,0,3.09
Spring 2025,ACCT,201,Intermediate Accounting l,1,"SUN, T",51,5,11,0,5,8,0,6,3,0,0,5,4,4,0,2.751
Spring 2025,ACCT,202,Intermediate Accounting II,1,"BARONE, E",40,3,6,5,3,8,2,5,4,0,0,1,0,2,1,3.089
Spring 2025,ACCT,202,Intermediate Accounting II,2,"MAZZO, M",35,0,3,2,6,6,3,2,2,0,0,0,10,1,0,2.174
Spring 2025,ACCT,261,Business Law I,5,"HERCZOG, L",50,1,24,12,6,6,0,0,0,0,0,0,0,1,0,3.718
Spring 2025,ACCT,261,Business Law I,4,"STEIN, R",50,7,6,5,10,11,5,2,0,0,0,0,0,3,1,3.361
Spring 2025,ACCT,261,Business Law I,2,"ALTMAN, J",50,3,6,1,7,6,7,3,13,2,1,0,1,0,0,2.746
Spring 2025,ACCT,261,Business Law I,1,"ALTMAN, J",50,1,4,4,8,9,6,7,4,0,0,4,2,1,0,2.704
Spring 2025,ACCT,261,Business Law I,3,"KIRSCHNER, D",50,0,2,2,3,8,9,6,7,3,0,3,1,6,0,2.489
Spring 2025,ACCT,305,Cost Accounting,3,"QURESHI, A",40,3,4,8,10,3,0,5,3,0,0,0,3,1,0,3.003
Spring 2025,ACCT,305,Cost Accounting,2,"YAN, Y",41,0,12,3,5,3,4,2,4,2,0,6,0,0,0,2.863
Spring 2025,ACCT,305,Cost Accounting,1,"XIAO, J",32,3,5,4,0,2,0,3,1,1,0,1,5,7,0,2.576
Spring 2025,ACCT,306,Quant Techniq Pln & Ctrl,1,"ADELBERG, A",40,12,11,4,7,5,0,0,0,0,0,0,0,1,0,3.715
Spring 2025,ACCT,306,Quant Techniq Pln & Ctrl,2,"STEVENS, M",40,4,10,4,8,9,3,0,1,0,0,0,1,0,0,3.358
Spring 2025,ACCT,306,Quant Techniq Pln & Ctrl,3,"STEVENS, M",15,1,2,0,1,3,1,1,2,0,0,0,3,1,0,2.379
Spring 2025,ACCT,311,Advanced Accounting,1,"HUANG, Q",40,0,23,3,3,3,2,3,1,0,0,2,0,0,0,3.458
Spring 2025,ACCT,311,Advanced Accounting,2,"BALKARAN, D",41,0,5,5,12,9,3,1,5,0,0,1,0,0,0,3.085
Spring 2025,ACCT,311,Advanced Accounting,3,"MAZZO, M",8,0,2,0,1,3,0,1,1,0,0,0,0,0,0,3.075
Spring 2025,ACCT,321,Auditing I,2,"UDDIN, M",16,2,6,2,2,0,0,0,0,1,0,2,0,1,0,3.313
Spring 2025,ACCT,321,Auditing I,1,"DAUBER, N",45,1,6,4,3,13,4,10,2,0,0,0,0,1,1,3.012
Spring 2025,ACCT,322,Auditing II,3,"XIAO, J",36,2,10,7,4,9,3,1,0,0,0,0,0,0,0,3.458
Spring 2025,ACCT,322,Auditing II,4,"XIAO, J",40,0,8,9,7,10,4,1,0,0,0,0,1,0,0,3.288
Spring 2025,ACCT,341,Accounting Information Systems,1,"SOLIERI, S",35,13,2,5,3,2,0,1,1,0,0,0,2,6,0,3.403
Spring 2025,ACCT,341,Accounting Information Systems,2,"QURESHI, A",30,2,11,4,2,3,0,0,4,0,0,0,2,1,1,3.229
Spring 2025,ACCT,343,Microcomputer Applications,1,"QURESHI, A",20,0,6,0,0,0,0,0,8,0,0,0,4,1,1,2.222
Spring 2025,ACCT,350,Financial Statement Analysis,1,"RUTHIZER, S",18,0,11,1,0,4,0,0,0,0,0,0,0,2,0,3.731
Spring 2025,ACCT,362,Business Law II,1,"HERCZOG, L",40,5,23,6,4,0,1,0,0,0,0,0,0,1,0,3.849
Spring 2025,ACCT,362,Business Law II,2,"KATZ, J",39,2,7,6,7,7,3,2,4,0,0,0,0,1,0,3.237
Spring 2025,ACCT,363,Business Law III,1,"HERCZOG, L",13,2,6,4,1,0,0,0,0,0,0,0,0,0,0,3.854
Spring 2025,ACCT,367,Fed & Ny State Tax,1,"BLUMENFRUCHT, I",83,4,24,33,11,5,2,2,0,0,0,0,0,1,1,3.647
Spring 2025,ACCT,367,Fed & Ny State Tax,2,"CALAMARI, J",51,1,6,5,7,7,7,6,5,0,1,1,1,4,0,2.885
Spring 2025,ACCT,372,Gov & Not for Profit Acct&Aud,1,"BALKARAN, D",45,0,12,6,11,3,8,1,3,0,0,0,0,0,1,3.305
Spring 2025,ACCT,372,Gov & Not for Profit Acct&Aud,2,"XIAO, J",28,0,0,1,0,6,6,5,2,3,1,2,1,1,0,2.289
Spring 2025,ACCT,385,Data Analytics for Accountants,1,"SOLIERI, S",21,3,6,1,2,0,3,1,1,0,0,0,2,2,0,3.089
Spring 2025,ACCT,398,Internship,1,"RUTHIZER, S",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ACCT,712,Adv Fin Acct Theory,1,"UDDIN, M",9,0,4,2,2,1,0,0,0,0,0,0,0,0,0,3.667
Spring 2025,ACCT,723,Adv Auditing Theory,1,"ZARATE, G",19,4,9,0,2,3,0,0,0,0,0,0,0,1,0,3.756
Spring 2025,ACCT,747,Tax & Accounting Communication,1,"KUMAR, V",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ACCT,748,Adv Acct Info Systms,1,"ZHANG, Y",8,1,2,3,1,0,1,0,0,0,0,0,0,0,0,3.638
Spring 2025,ACCT,752,Adv Stdy In Bus Law,1,"LINN, D",6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,3.667
Spring 2025,ACCT,757,Fed Taxation of Business Ent,2,"BALKARAN, D",9,0,3,3,1,0,0,0,0,0,0,0,0,0,2,3.771
Spring 2025,ACCT,757,Fed Taxation of Business Ent,1,"STEVENS, M",13,0,2,1,1,6,1,0,2,0,0,0,0,0,0,3.054
Spring 2025,ACCT,758,State & Local Tax & Tax-Exempt,1,"KUMAR, V",9,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3.556
Spring 2025,ACCT,759,"Estate, Gifts & Trust Taxation",1,"MAZZO, M",18,0,0,0,2,15,0,0,0,0,0,0,1,0,0,2.867
Spring 2025,ACCT,760,IRS Ethical Tax Prac & Proc,1,"BARONE, E",8,0,4,2,2,0,0,0,0,0,0,0,0,0,0,3.75
Spring 2025,ACCT,761,Taxation Partnership & S Corp,1,"MAZZO, M",13,0,0,1,4,6,0,0,0,0,0,0,0,2,0,3.173
Spring 2025,ACCT,773,Gov & Not for Profit Acct&Aud,1,"SUN, F",16,1,2,2,1,3,2,3,0,0,0,0,0,1,1,3.143
Spring 2025,ACCT,785,Data Analytics for Accountants,1,"SOLIERI, S",13,4,4,2,1,0,1,0,0,0,0,0,0,1,0,3.783
Spring 2025,ACCT,3911,Special Problems,2,"BARONE, E",15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ACCT,3911,Special Problems,3,"SOLIERI, S",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ACCT,3913,Special Problems,1,"ADELBERG, A",7,5,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0
Spring 2025,ACCT,362W,Business Law II,1,"LINN, D",25,0,6,4,5,6,1,3,0,0,0,0,0,0,0,3.316
Spring 2025,AFST,100,Intro to Africana Studies,1,"WIEL, K",25,10,4,1,1,1,0,0,1,0,1,0,4,2,0,3.013
Spring 2025,AFST,199,The Dance Practices of African,1,"PAIGE, K",5,0,1,2,1,1,0,0,0,0,0,0,0,0,0,3.54
Spring 2025,AFST,206,The Black Fam in a Global Cont,1,"COULOUTE, C",3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3.0
Spring 2025,AFST,277,AfricaAmerican Hist to Reconst,1,"SELF, S",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,AFST,278,Africa-Amer Hist Since Reconst,2,"CATO, K",10,3,3,1,0,1,1,0,0,0,0,0,1,0,0,3.34
Spring 2025,AFST,278,Africa-Amer Hist Since Reconst,1,"WIEL, K",2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15
Spring 2025,AFST,308,Soc Chg in the AfricanDiaspora,1,"SELF, S",10,3,4,0,0,2,0,0,0,0,0,0,0,0,1,3.778
Spring 2025,ANTH,101,Intro To Cultural Anthropology,7,"COTTER-NORWOOD, F",35,21,5,2,1,2,0,0,0,0,0,0,0,4,0,3.894
Spring 2025,ANTH,101,Intro To Cultural Anthropology,9,"EDWARD, C",27,0,26,0,0,0,0,0,0,0,0,1,0,0,0,3.889
Spring 2025,ANTH,101,Intro To Cultural Anthropology,10,"EDWARD, C",34,0,29,0,0,1,1,0,1,0,0,0,0,1,1,3.866
Spring 2025,ANTH,101,Intro To Cultural Anthropology,12,"ZACHARIAH, M",40,7,6,12,2,4,4,0,0,0,0,2,0,3,0,3.454
Spring 2025,ANTH,101,Intro To Cultural Anthropology,13,"MUKHERJEE, A",27,6,10,0,3,1,1,0,0,1,0,0,4,0,1,3.127
Spring 2025,ANTH,101,Intro To Cultural Anthropology,11,"KAPLAN-SENCHAK, S",24,2,4,3,3,4,1,0,1,2,0,0,4,0,0,2.713
Spring 2025,ANTH,101,Intro To Cultural Anthropology,8,"LEVI, S",35,4,3,8,2,2,4,2,2,0,0,0,7,1,0,2.635
Spring 2025,ANTH,101,Intro To Cultural Anthropology,5,"LEYNSE, W",70,2,6,4,5,11,8,7,3,7,4,3,4,6,0,2.502
Spring 2025,ANTH,101,Intro To Cultural Anthropology,1,"ELISHA, O",110,5,7,7,10,14,13,9,12,7,3,7,13,2,1,2.35
Spring 2025,ANTH,101,Intro To Cultural Anthropology,2,"COLLINS, J",71,2,9,5,8,4,3,4,3,5,0,1,21,6,0,2.057
Spring 2025,ANTH,101,Intro To Cultural Anthropology,4,"CHOI, J",40,3,2,1,2,2,2,1,2,2,1,7,15,0,0,1.493
Spring 2025,ANTH,101,Intro To Cultural Anthropology,3,"CHOI, J",40,0,1,1,1,4,4,2,2,3,2,4,13,3,0,1.462
Spring 2025,ANTH,102,Intro to Human Evolution,5,"LAMELA LOPEZ, R",109,20,13,10,9,11,7,4,6,4,6,2,4,13,0,3.004
Spring 2025,ANTH,102,Intro to Human Evolution,2,"SHIBATA, C",49,7,1,4,4,5,2,1,5,4,0,2,2,11,1,2.743
Spring 2025,ANTH,102,Intro to Human Evolution,4,"LAMELA LOPEZ, R",40,7,5,1,2,2,3,2,2,2,1,1,4,8,0,2.709
Spring 2025,ANTH,102,Intro to Human Evolution,6,"PAGANO, A",23,0,3,0,1,2,3,2,0,0,4,0,0,5,3,2.613
Spring 2025,ANTH,102,Intro to Human Evolution,7,"DEONARINE, T",39,2,6,1,7,6,0,1,4,1,1,0,8,2,0,2.435
Spring 2025,ANTH,102,Intro to Human Evolution,8,"GRANT, M",30,5,2,3,0,1,3,1,4,4,1,1,4,1,0,2.4
Spring 2025,ANTH,102,Intro to Human Evolution,1,"MADIMENOS, F",75,7,5,3,5,7,4,4,4,4,6,10,8,6,2,2.227
Spring 2025,ANTH,102,Intro to Human Evolution,3,"EVANS, K",77,0,2,3,7,8,6,11,5,9,4,8,13,1,0,1.924
Spring 2025,ANTH,103,Introduction to Archaeology,6,"FEELEY III, F",42,10,12,6,3,5,1,2,1,0,0,0,0,2,0,3.61
Spring 2025,ANTH,103,Introduction to Archaeology,5,"FEELEY III, F",20,6,3,3,1,0,1,1,1,0,0,0,2,2,0,3.189
Spring 2025,ANTH,103,Introduction to Archaeology,1,"PUGH, T",44,8,5,0,2,2,1,3,4,4,0,3,2,10,0,2.706
Spring 2025,ANTH,103,Introduction to Archaeology,4,"NYAMUSHOSHO, R",50,1,2,4,3,8,6,1,4,6,3,6,5,1,0,2.19
Spring 2025,ANTH,103,Introduction to Archaeology,4,"QUINONEZ DARDON, J",50,1,2,4,3,8,6,1,4,6,3,6,5,1,0,2.19
Spring 2025,ANTH,103,Introduction to Archaeology,3,"NYAMUSHOSHO, R",18,0,0,2,3,1,0,1,3,1,0,5,2,0,0,1.961
Spring 2025,ANTH,104,"Language, Culture, and Society",4,"ARIZA GARCIA, A",57,10,8,5,16,9,4,1,1,0,0,1,2,0,0,3.27
Spring 2025,ANTH,104,"Language, Culture, and Society",3,"ARIZA GARCIA, A",60,8,9,0,10,8,14,2,1,0,0,0,4,4,0,3.025
Spring 2025,ANTH,104,"Language, Culture, and Society",1,"MAKIHARA, M",110,10,13,11,12,25,8,7,8,1,6,3,0,6,0,3.014
Spring 2025,ANTH,104,"Language, Culture, and Society",6,"QUESADA NIETO, L",49,6,7,4,2,8,2,2,2,0,2,2,8,3,1,2.578
Spring 2025,ANTH,104,"Language, Culture, and Society",2,"RODRIGUEZ APONTE, J",101,1,2,6,10,16,13,9,16,3,4,12,6,3,0,2.299
Spring 2025,ANTH,104,"Language, Culture, and Society",7,"RODRIGUEZ APONTE, J",58,0,2,0,5,8,4,4,5,5,3,8,11,3,0,1.798
Spring 2025,ANTH,200,History of Anthropology,1,"BIRTH, K",18,0,4,2,8,0,0,0,0,0,0,1,0,3,0,3.387
Spring 2025,ANTH,201,Essentials Of Cultural Anthro,2,"ELISHA, O",27,2,4,3,6,2,4,1,0,0,0,1,1,3,0,3.125
Spring 2025,ANTH,205,Peoples Of Mexico & C America,1,"QUESADA NIETO, L",5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3.94
Spring 2025,ANTH,211,Peoples of Africa,1,"WIEL, K",8,2,0,2,0,0,0,0,0,1,0,1,2,0,0,2.263
Spring 2025,ANTH,236,Culture and Learning,1,"LEYNSE, W",12,2,2,1,2,0,0,1,0,0,0,1,0,2,1,3.289
Spring 2025,ANTH,240,Essentials of Archaeology,1,"BAUER, A",20,5,4,3,3,2,0,0,1,1,0,0,1,0,0,3.335
Spring 2025,ANTH,248,World of the Vikings,1,"FEELEY III, F",20,4,4,1,3,5,0,2,0,0,0,0,0,1,0,3.432
Spring 2025,ANTH,258,"Cult Property, Heritage & Law",1,"BAUER, A",18,2,4,3,2,4,0,0,0,0,0,0,0,1,2,3.58
Spring 2025,ANTH,260,Essent Biol Anthro,1,"LAMELA LOPEZ, R",15,4,1,1,2,2,1,0,3,0,0,0,1,0,0,3.0
Spring 2025,ANTH,276,Human Growth and Development,1,"MADIMENOS, F",18,3,3,2,1,1,2,0,0,3,1,0,0,2,0,3.094
Spring 2025,ANTH,281,Analyzing Language in Action,1,"LE, K",4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3.925
Spring 2025,ANTH,309,Psychological Anthropology,1,"HALLIBURTON, M",17,0,4,2,3,1,1,0,1,2,0,0,0,3,0,3.171
Spring 2025,ANTH,342,Origins of Complex Society,1,"PUGH, T",18,4,2,1,2,3,2,0,1,0,0,0,0,1,2,3.38
Spring 2025,ANTH,350,Seminar in Archaeology,1,"SHINN, R",13,2,4,2,1,1,1,1,0,1,0,0,0,0,0,3.415
Spring 2025,ANTH,354,Time,1,"BIRTH, K",16,0,7,4,0,2,0,0,2,0,0,0,0,1,0,3.52
Spring 2025,ANTH,2953,Ind Std -Anth,2,"RODRIGUEZ APONTE, J",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ANTH,2953,Ind Std -Anth,3,"COLLINS, J",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ANTH,2953,Ind Std -Anth,4,"SWEDELL, L",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ANTH,2953,Ind Std -Anth,1,"STRASSLER, K",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Spring 2025,ANTH,3953,Directed Studies,1,"STRASSLER, K",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ANTH,3953,Directed Studies,3,"PUGH, T",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ANTH,3953,Directed Studies,2,"RODRIGUEZ APONTE, J",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Spring 2025,ANTH,208W,Peoples of South Asia,1,"HALLIBURTON, M",20,2,1,0,5,1,2,2,2,1,0,1,0,3,0,2.835
Spring 2025,ANTH,239W,Vt:Topics Cult Anth,1,"STRASSLER, K",13,0,4,1,3,0,1,0,0,1,0,0,0,3,0,3.4
Spring 2025,ARAB,101,Elementary Arabic I,1,"ABDELGHANY, H",25,0,23,0,0,0,0,0,0,0,0,0,0,1,1,4.0
Spring 2025,ARAB,101,Elementary Arabic I,2,"MASOOD, H",23,1,7,3,1,3,3,0,0,0,0,1,3,1,0,2.932
Spring 2025,ARAB,101,Elementary Arabic I,3,"ALMADANAT, A",20,4,0,0,4,0,0,1,3,0,2,3,2,1,0,2.268
Spring 2025,ARAB,102,Elementary Arabic II,1,"BENBABA, A",22,18,3,1,0,0,0,0,0,0,0,0,0,0,0,3.986
Spring 2025,ARAB,204,Intermediate Arabic II,1,"MASOOD, H",14,0,3,2,0,2,0,2,2,0,0,1,1,1,0,2.692
Spring 2025,ARAB,306,Advanced Arabic II,1,"ABDELGHANY, H",15,3,11,0,0,0,0,0,0,0,0,0,0,0,1,4.0
Spring 2025,ARTH,1,Introduction to Art,2,"JONES, J",40,4,8,3,5,5,0,1,2,1,0,0,4,7,0,2.988
Spring 2025,ARTH,101,History of Western Art I,3,"HORTON, H",40,0,3,3,4,11,4,2,4,2,0,1,2,4,0,2.697
Spring 2025,ARTH,101,History of Western Art I,2,"HARTEL JR JR, H",39,0,3,1,2,3,1,3,4,3,2,4,11,2,0,1.638
Spring 2025,ARTH,102,History of Western Art II,5,"PEREDO, R",31,2,9,4,6,4,2,1,0,0,1,0,0,2,0,3.434
Spring 2025,ARTH,102,History of Western Art II,4,"HORTON, H",31,2,9,5,3,3,2,1,0,1,0,2,1,2,0,3.2
Spring 2025,ARTH,102,History of Western Art II,3,"REIMAN, C",39,1,2,0,3,4,1,6,3,0,0,6,2,11,0,2.229
Spring 2025,ARTH,102,History of Western Art II,2,"REIMAN, C",38,0,4,0,2,2,0,5,5,0,1,3,5,11,0,2.015
Spring 2025,ARTH,113,Survey of Modern Art,1,"POWERS, E",25,0,0,2,1,0,3,3,6,3,2,0,0,5,0,2.27
Spring 2025,ARTH,113,Survey of Modern Art,2,"POWERS, E",30,0,1,0,1,1,2,3,3,5,5,2,2,5,0,1.824
Spring 2025,ARTH,114,Survey of Asian Art,2,"WALDRON, L",22,0,4,0,0,4,0,1,2,1,0,0,4,6,0,2.25
Spring 2025,ARTH,200,Studies in The History of Art,2,"WOODFIN, W",17,3,1,4,1,3,1,0,0,2,0,0,1,1,0,3.075
Spring 2025,ARTH,236,Baroque & Beginnings Globalism,1,"HORTON, H",26,0,3,8,2,5,1,0,0,2,0,3,0,2,0,3.013
Spring 2025,ARTH,256,Contemporary Art Practices,1,"POWERS, E",17,0,1,2,1,1,3,3,1,2,1,0,1,1,0,2.463
Spring 2025,ARTH,258,History of Photography,1,"BAUMAN, E",40,4,3,10,6,5,2,2,1,1,0,1,0,3,2,3.271
Spring 2025,ARTH,284,Post-Conq Art: Latin America,1,"WALDRON, L",7,0,0,1,2,2,0,0,2,0,0,0,0,0,0,2.9
Spring 2025,ARTH,286,African Art,1,"WALDRON, L",8,0,1,0,0,2,1,0,1,1,0,0,1,1,0,2.343
Spring 2025,ARTH,330,Special Problems,1,"HORTON, H",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTH,503,Vt: Medievalart,1,"WOODFIN, W",6,0,0,4,1,0,1,0,0,0,0,0,0,0,0,3.467
Spring 2025,ARTH,504,Vt: Renaissance & Baroque Art,1,"HORTON, H",6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3.8
Spring 2025,ARTH,505,Variable Topics: Modern Art,1,"POWERS, E",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.7
Spring 2025,ARTH,790,Thesis,1,"HORTON, H",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTH,3202,Internship in Art History,1,"HORTON, H",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTH,7441,Dutch Painting in 17th Century,1,"WALDRON, L",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTH,7522,Seminar in Medieval Art,1,"WOODFIN, W",4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3.675
Spring 2025,ARTH,7531,Seminar in Renaissance Art,1,"HORTON, H",2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.85
Spring 2025,ARTH,7555,Seminar in Modern Art,1,"POWERS, E",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTS,150,Fundamentals of Art,2,"NAKAZAWA, N",18,6,11,0,0,0,1,0,0,0,0,0,0,0,0,3.928
Spring 2025,ARTS,150,Fundamentals of Art,1,"ESPOSITO, C",19,2,5,4,0,3,1,0,0,2,0,0,0,1,1,3.406
Spring 2025,ARTS,151,Drawing I,4,"POWHIDA, W",18,5,5,2,3,1,1,0,0,0,0,0,0,1,0,3.706
Spring 2025,ARTS,151,Drawing I,5,"BEHBAHANI, B",18,4,5,3,2,0,2,0,1,0,0,0,1,0,0,3.394
Spring 2025,ARTS,151,Drawing I,3,"KRISTENSEN, A",14,0,2,3,0,2,1,2,0,0,0,0,2,2,0,2.7
Spring 2025,ARTS,151,Drawing I,2,"GRIFFIN, N",18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.0
Spring 2025,ARTS,161,Painting I,4,"PEREDO, R",15,4,8,2,0,1,0,0,0,0,0,0,0,0,0,3.893
Spring 2025,ARTS,161,Painting I,QI1,"ESPOSITO, C",10,3,2,1,1,0,0,0,1,0,0,0,0,2,0,3.625
Spring 2025,ARTS,161,Painting I,2,"SMITH, K",17,1,1,2,6,4,2,0,1,0,0,0,0,0,0,3.212
Spring 2025,ARTS,161,Painting I,3,"KRISTENSEN, A",17,0,2,2,0,2,3,1,1,0,0,1,0,5,0,2.9
Spring 2025,ARTS,161,Painting I,1,"AHN, S",12,0,1,1,0,2,3,0,1,1,0,0,1,2,0,2.55
Spring 2025,ARTS,161,Painting I,5,"GRIFFIN, N",17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0
Spring 2025,ARTS,182,Introduction to Sculpture,2,"MACDOUGALL III, M",17,6,4,7,0,0,0,0,0,0,0,0,0,0,0,3.876
Spring 2025,ARTS,182,Introduction to Sculpture,1,"LIEB, N",17,6,5,1,1,0,1,1,0,0,0,0,1,1,0,3.5
Spring 2025,ARTS,185,Contemporary Art,1,"KAUPER, K",19,1,14,2,0,0,0,0,0,0,0,0,0,2,0,3.965
Spring 2025,ARTS,186,Ceramics I,4,"MULFORD, A",15,3,9,0,0,0,0,0,0,0,0,0,0,3,0,4.0
Spring 2025,ARTS,186,Ceramics I,3,"MITTAL, P",16,1,15,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTS,186,Ceramics I,1,"MARINO-JONES, M",17,4,6,3,2,0,0,0,0,0,0,0,0,1,1,3.847
Spring 2025,ARTS,186,Ceramics I,2,"EBNER, R",17,4,6,3,0,0,0,1,0,0,0,0,0,3,0,3.814
Spring 2025,ARTS,240,Drawing ll,3,"POWHIDA, W",14,8,2,4,0,0,0,0,0,0,0,0,0,0,0,3.914
Spring 2025,ARTS,240,Drawing ll,2,"AHN, S",8,0,2,0,0,0,1,0,0,1,0,0,2,2,0,2.067
Spring 2025,ARTS,244,Color I,1,"SULLIVAN, J",17,0,6,1,1,6,0,1,0,1,0,0,0,1,0,3.313
Spring 2025,ARTS,253,Drawing III,2,"AHN, S",7,0,1,0,1,3,1,0,0,1,0,0,0,0,0,2.957
Spring 2025,ARTS,254,Drawing Special Projects,2,"POWHIDA, W",4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3.825
Spring 2025,ARTS,254,Drawing Special Projects,3,"AHN, S",2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.65
Spring 2025,ARTS,256,Painting Special Projects,4,"ESPOSITO, C",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Spring 2025,ARTS,256,Painting Special Projects,1,"GOLDBERG, G",3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.9
Spring 2025,ARTS,256,Painting Special Projects,3,"SMITH, K",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.65
Spring 2025,ARTS,256,Painting Special Projects,2,"PEREDO, R",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.5
Spring 2025,ARTS,260,Painting II,1,"SMITH, K",11,2,1,1,4,2,0,0,1,0,0,0,0,0,0,3.355
